Login,Traces #1,Traces #2,Traces #2.1,Final Traces,Final + Bonus
,0,13.33,13.33,15.71,14.38
,20,16.67,16.67,15.14,14.25
,17.5,16.67,16.67,20,19.38
,17.5,11.67,11.67,20,20
,0,10,10,15.71,15
,5,13.33,13.33,12.14,11.88
,,,,17.86,17.5
,10,16.67,16.67,18,18
,,,,10.14,9.88
,15,13.33,13.33,8.57,8.12
,,,,5,4.38
,,,,8.57,8.12
,,,,4.29,4.38
,,0,0,4.57,4.75
,5,5,5,4.29,3.75
,0,0,0,0,0
,20,15,15,10.71,9.38
,0,0,0,0,0
,0,0,0,0,0
,,,,7.14,6.25
,20,20,20,20,20
,0,0,0,0,0
,0,5,5,6.57,6.12
,0,1.67,1.67,1.43,1.25
,20,20,20,18,18
,20,20,20,17.14,16.88
,5,3.33,3.33,20,19.38
,10,20,20,20,20
,2.5,10,10,3.71,3.62
,,,,20,19.38
,,11.67,11.67,11.43,11.25
,15,13.33,13.33,9.43,8
,,,,20,19.38
,20,20,20,20,18.75
,5,3.33,3.33,20,19.38
,0,0,0,4.29,3.75
