Login,Traces #1,Traces #2.0,Traces #2.1,Traces #2.2,Traces #3,Final Traces
,0,10.5,11.75,10.5,7.38,12.2
,0,20,20,20,20,20
,16.67,17.78,17.78,17.78,18.5,16.8
,0,10,10,10,16,18
,,5.78,5.78,5.78,6.04,19
,,,,,13.12,13.1
,10,2.22,2.22,2.22,10.79,15.47
,,,,,,15.6
,20,17.5,15,15,12.75,18.6
,20,20,20,20,20,19
,13.33,10.56,8.06,8.06,18.33,17.33
,0,0,0,0,1.67,1.33
,11.33,20,20,20,19.5,19
,13.33,16.67,16.67,16.67,18.5,16.8
,,,,,9.79,18
,18,12.5,12.5,12.5,12.25,10.8
,,10,10,10,17,17.2
,,,,,20,19
,20,20,20,20,20,19
,20,20,20,17.78,18.33,19
,,20,20,20,20,19
,,0,0,0,0,0
,10,10,10,10,7.5,13.9
,0,2.5,2.5,2.5,11.46,15.6
,6.67,3.78,3.78,3.78,9.44,14.7
,20,20,20,20,17,19
,,,,,0,
,,,,,,19
,,,,,4.17,14.5
,,0,0,0,18.33,19
,,9.06,6.56,6.56,18,14.4
,20,15,18.75,20,18.5,16.8
,,,,,20,18
,,3.78,3.78,3.78,17.12,19
,20,20,20,20,17,20
,,,,,,0
,0,0,0,0,0,14.8
,,,,,,2
,,,,,14,12.8
,,,,,,13.47
,,,,,19,17
,20,20,20,20,18.5,20
,,,,,,9.33
,0,6,6,6,17.12,15.7
,,0,0,0,20,18
,20,17.5,17.5,17.5,19,17.2
,20,6,7.25,8.5,12.38,19
,6.67,11.67,9.17,9.17,19,17.2
,20,10,11.25,12.5,16.5,17.2
,0,0,0,0,0,14.65
,,2.22,2.22,2.22,20,19
,13.33,20,20,20,18.5,19
,,,,,14.75,12.8
,0,0,0,0,4.17,3.33
,20,15,18.75,20,20,17
,0,15,18.75,20,18.5,15.8
,20,15,18.75,18.75,20,18
,,,,,8.75,14.8
,20,20,20,20,20,19
,20,15.5,13,13,19.5,18
,,,,,0,1.33
,,7.78,9.03,10.28,16,18.2
,,,,,0,13.27
,20,20,20,20,20,20
,,,,,,1.33
,13.33,17.78,17.78,17.78,20,18
,20,15,18.75,20,20,18
,,0,0,0,18.12,18
,20,20,20,20,20,19
,10,0,0,0,7.71,13.2
,20,20,20,20,20,20
,20,8,8,8,0,8.5
,,,,,11.38,17.2
,13.33,10,10,10,19,17.2
,3.33,2.22,2.22,2.22,16.46,19
,,,,,,0
,10,17.78,17.78,17.78,16.5,15.2
,,,,,,0
,,10,10,10,9.25,18
,20,17.5,15,15,12.25,17.2
,,10,11.25,12.5,9.38,18
,,,,,18.5,16.8
,0,8.56,6.06,6.06,2.38,7.23
,0,2.22,2.22,2.22,1.67,6.75
,6.67,10.56,13.06,13.06,17,19
,,5.56,5.56,5.56,17,17.2
,20,12.5,13.75,15,11.25,13.6
,,,,,0,0
,13.33,6.67,7.92,9.17,15.5,16.4
,,,,,9.38,15.2
,,10.56,8.06,8.06,7.92,15.2
,6.67,17.5,17.5,17.5,20,18
,,15,12.5,12.5,18.5,16.4
,,10,10,10,13.12,14
,0,8.06,11.81,13.06,19.5,16.6
,,,,,7.04,13.4
,,10,10,10,4.17,13.4
,,8.06,9.31,10.56,13.25,15
,,1.56,1.56,1.56,16.5,15.2
,,,,,18.5,15.8
,20,15,18.75,20,19,16.2
,,,,,,9.5
,0,0,0,0,19,17.2
,20,20,20,20,17,15.6
,20,12.5,13.75,15,18.5,19
,,,,,17.06,13.65
,,6.78,6.78,6.78,4.83,16
,20,15,12.5,12.5,17,20
,20,15,12.5,12.5,11.38,15.7
,,,,,16.12,16.4
,0,2.22,2.22,2.22,1.67,0
,11.33,5.78,5.78,5.78,3.83,12.5
,,,,,,17.2
,6.67,20,20,20,20,19
,,0,0,0,0,13.67
,,,,,,0
,0,7.67,5.17,5.17,16.12,10.1
,20,10,10,10,17,18.2
,0,5.56,5.56,5.56,16.12,15.7
,20,20,20,20,19,17.2
,13.33,12.78,15.28,15.28,20,19
,,,,,17,16.2
,0,0,0,0,0,8.13
,10,12.5,12.5,12.5,18,18.2
,,,,,10.88,19
,16.67,10,10,10,0,15.8
,,,,,,7.5
,,,,,18.5,16.8
,20,0,0,0,20,20
,20,20,20,20,19,17.2
,20,15,18.75,20,18,17.4
,0,0,0,0,15.17,16.07
,,,,,20,18
,0,13,10.5,10.5,10.38,13.8
,20,17.5,15,15,18.5,14.47
,16.67,17.5,15,15,13.25,11.6
,18,17.5,15,15,13.25,18
,,,,,15,19.6
,,,,,0,0
,13.33,13.28,10.78,10.78,18,16.4
