Login,Traces #1,Traces #2,Traces #3,Traces #4,Final Traces #1,Final Traces #2
,,,,,8.04,8.04
,,,,3.97,13.73,13.73
,7.78,18.89,18.36,19.21,19.5,19.5
,7.78,7.78,7.51,17.62,15.5,15.5
,,,,0,2.92,2.92
,,7.78,9.89,,16.5,16.5
,,,,,16.5,16.5
,,,,3.93,0,0
,0,,0,0,4.92,4.92
,,,,0,3.42,3.42
,0.22,13.33,14.13,,0,0
,0,14.67,15.46,8.69,18,18
,2.22,12.67,11.08,17.21,16.5,16.5
,0,0,0,,0,0
,7.78,18.89,14.39,19.21,18,18
,2.22,13.33,10.95,,6.04,6.04
,2.22,0,0,10.69,16.08,16.08
,2.22,2.22,4.87,5.77,4.35,4.35
,14.44,20,20,,17,17
,,7.78,9.89,11.59,17.5,17.5
,2.22,7.78,5.93,,5.54,5.54
,,12.22,9.31,,17.5,17.5
,0,0,0,4.66,10.04,10.04
,20,20,19.21,20,20,20
,2.22,7.78,5.93,16.77,14.58,14.58
,,0.22,0,18,18.08,18.08
,,0,0,4.07,0,5.04
,,5.56,6.61,10.69,10.54,10.54
,0,2.22,1.69,16.72,14.15,14.15
,,,,,0,10.73
,,,,,15.5,15.5
,0,,2.97,20,19,19
,,0,0,18.31,18,18
,0,,0,4.87,8.54,8.54
,0,2.22,1.69,,10.04,10.04
,6.67,,5.87,6.46,20,20
,,,,2.49,1.42,1.42
,2.22,0,0,7.1,14.15,14.15
,,,,,5.54,5.54
,5.78,,1.93,16.41,12,12
,,,,4.97,11.65,11.65
,,,,,3.92,3.92
,,,,,4.04,4.04
,,,,8.31,8.04,8.04
,,0,0,,9.96,9.96
,,,,0,8.31,8.31
,20,,20,20,16.5,16.5
,,,,18.31,16.15,16.15
,,,,,0,0
,,,,,5.54,5.54
,,,,,8.12,8.12
,0.22,2.22,1.69,4.07,0.92,0.92
,,2.22,4.87,8.59,6.96,6.96
,,,,0,3.92,3.92
,,,,,7.38,7.38
,20,,20,,18,18
,,,,,0,0
,,,,5.89,19,19
,,0,2.17,10.69,12.81,12.81
,0,17.78,17.51,,15.5,15.5
,0,0,0,0,0,0
,5.78,7.78,9.1,16.67,12.38,12.38
,,,,,7.04,7.04
,,0,0,1.69,11.65,11.65
,0,12.33,12.33,13.33,11.31,11.31
,,18.89,,,0.42,0.42
,,7.78,,,4.19,4.19
,,,,,17,17
,7.78,,19.15,,15.58,15.58
,0.22,,10.69,20,17,17
,10.22,17.78,17.51,20,17.5,17.5
,6.78,20,15.24,,18.5,18.5
,,7.78,10.69,20,17,17
,0,,0,,0,0
,,,,,1.92,1.92
,15.78,15.78,15.51,9.89,13.73,13.73
,,,,,16.5,16.5
,7.78,7.78,5.93,13.28,17.5,17.5
,5.56,6.78,4.93,5.93,13.31,13.31
,2.22,2.22,5.66,18.31,15.65,15.65
,,,,9.89,11.38,11.38
,4.67,,7.05,,9.46,9.46
,7.78,20,20,10.38,18,18
,2.22,,1.69,8.31,9.04,9.04
,,,,,6.04,6.04
,20,,19.21,20,19,19
,,,,14,11.5,11.5
,,,,3.28,4.35,4.35
,4.44,4.44,3.39,6.56,8.54,8.54
,,2.22,1.69,,13.15,13.15
,,,,,9.62,9.62
,5.56,10,10,,13.46,13.46
,,,,,10.38,10.38
,0,,0,,6.04,6.04
,0,,0,,6.04,6.04
,,,,,9.54,9.54
,,,,6.1,7.04,7.04
,2.22,7.78,9.89,19.21,16.5,16.5
,,,,,11.81,11.81
,12.22,,9.31,,5.54,5.54
,,0,0,,0,0
,,0,0,1.69,5.42,5.42
,,,,0.69,16,16
,,,,6.51,8.54,8.54
,,11.11,8.47,16.67,13.65,13.65
,0,17.78,16.72,,14.65,14.65
,,5.56,8.2,10.69,10.54,10.54
,,5.56,,,7.04,7.04
,,18.89,,,6.04,6.04
,0,,0,,0,0
,,,4.23,16.77,2.92,2.92
,7.78,,18.36,,15.58,15.58
,,,,,8.54,8.54
,,0,0,7.51,8.54,8.54
,,,,0,13.58,13.58
,5.78,13.33,10.16,16.03,19.5,19.5
,,,,,4.42,4.42
,,,,,1.5,1.5
,,,,,4.42,4.42
,,5.56,4.23,9.89,9.54,9.54
,,,,1.69,0.92,0.92
,11.11,,7.47,,2.92,2.92
,,0,0.79,10.69,9.04,9.04
,1.22,2.22,1.69,9.89,14.58,14.58
,0,12.33,12.33,14.13,11.81,11.81
,,,,,9.04,9.04
,0,0,0,0,4.35,4.35
,0,2.22,0,0,0,14.5
,,,,,3.92,3.92
,0,14.67,4.87,,0,6.04
,7.78,,5.93,,3.42,3.42
,,,,8.15,6.85,6.85
,,,,,1.42,1.42
,0.22,,10.7,17.21,16.5,16.5
,,,,7.1,9.54,9.54
,2.22,,2.49,,5.42,5.42
,2.22,20,20,20,16.5,16.5
,,0.22,2.87,12.18,11.96,11.96
,,,,,0,0
,,12.33,13.13,19.15,16.5,16.5
,7.78,7.78,7.51,9.21,7.96,7.96
,0,2.22,4.07,12.49,9.38,9.38
,,,,0,0,0
,,12.22,10.11,18.31,14.65,14.65
,0,7.78,8.31,,5.69,5.69
,13.33,13.33,11.75,,12.31,12.31
,,,,,0,6.15
,0,,0,,4.27,4.27
,,,,,7.04,7.04
,18.89,20,19.21,20,18,18
,0,18.89,17.57,,0,6.38
,0,0,0.28,10.75,12.81,12.81
,0,0,4.76,18.31,16.15,16.15
,2.22,13.33,12.54,10.13,16.5,16.5
,,,,18,15.5,15.5
,7.78,,9.89,,10.96,10.96
,14.44,,14.97,15.77,16.5,16.5
,,,,,15.5,15.5
,1.22,,0.69,0.69,0.85,0.85
,,,,,0,1
,,,,,0,0
,,,,,0,0
,2.22,2.22,5.66,17.57,14.08,14.08
,0,,0,,0,17.5
,,,,,0,0
,,,,,2.42,2.42
,7.78,20,19.21,,15,15
,,7.78,7.51,18.41,17,17
,,,,3.07,7.12,7.12
,,,,,8.04,8.04
,,7.78,6.72,11.59,0,12.5
,,,,,0,0
,17.78,,16.72,17.57,16.58,16.58
,,0,0,3.97,8.19,8.19
,,0,0,7.89,11.31,11.31
,,,,,17.5,17.5
,,,,,13.5,13.5
,,,,0,9.54,9.54
,10.22,4.44,7.35,14.13,18,18
,0,0,0,0,8.54,8.54
,,,,,0,0
,4.44,18.89,18.36,17.62,17,17
,,0,0,5.66,3.92,3.92
,,,,1.69,3.92,3.92
,,,,,2.92,2.92
,,,,,9.96,9.96
,,7.89,6.57,14.07,11.46,11.46
,13.33,,10.16,17.62,16.5,16.5
,,,,,16,0
,4.44,20,15.24,14.41,9.88,9.88
,,1.22,4.66,5.66,9.54,9.54
,0.22,14.67,14.67,,18.08,18.08
,,,,0,7.62,7.62
,,,,,6.96,6.96
,0,2.44,6.15,18,19,19
,,,,,10.04,10.04
,,0,0,0,0.92,0.92
,,0,0,2.07,2.42,2.42
,1.22,2.22,6.46,12.49,15.58,15.58
,,15.78,14.72,18.36,13.5,13.5
,0,,0,,8.38,8.38
,7.78,7.78,9.89,,0,14.08
,0,2.22,1.69,8.31,15.15,15.15
,0.22,0.22,2.07,18,16.5,16.5
,7.78,20,19.21,20,17,17
,18.89,20,16.03,19.21,19,19
,,20,20,,19,19
,,,,0,9.04,9.04
,0,,0,2.49,1.42,1.42
,0,2.22,4.87,4.87,2.42,2.42
,,,,,0,0
,,,,,0,0
,0,,0.79,,10.54,10.54
,2.22,,1.69,,0,0
,0,0,0,14.77,12.31,12.31
,,0.44,0,0,18.08,18.08
,0,7.78,7.51,10.16,19,19
,0,,0,,0,2.5
,4.44,,4.97,,0,7.46
,13.33,8.89,9.95,9.95,12.38,12.38
,,0,0,,11.81,11.81
,6.78,,3.93,,8.81,8.81
,,,,,0,0
,,,,0.87,7.62,7.62
,,,,2.87,7.04,7.04
,2.22,2.22,1.69,11.69,20,19
,5.78,0,0,6.31,7.54,7.54
,,2.22,6.46,12.38,13.81,13.81
,,,,,15.5,15.5
,,,,0,0,0
,,,,0,0,0
,6.89,11.11,9.26,,14.15,14.15
,,,,15.93,14.65,14.65
,0,2.22,3.28,,5.85,5.85
,,5.78,3.93,9.69,13.31,13.31
,4.44,4.44,6.56,10.79,11.31,11.31
,,10,12.38,15.77,12.38,12.38
,13.33,18.89,17.57,,15.08,15.08
,0.22,2.22,5.66,7.62,10.88,10.88
,15.56,14.89,12.77,1.28,13.5,13.5
,,,,,9.04,9.04
,,0,0,4.07,8.54,8.54
,11.11,11.11,12.43,9.89,11.88,11.88
,,0,0,,0.92,0.92
,9.33,18.89,18.36,20,19,19
,7.78,,5.93,,5.54,5.54
,,,,3.77,2.35,2.35
,,,,,0,0
,2.22,1.22,4.66,,9.88,9.88
,,0.22,0,0,0,2.54
,2.22,18.89,17.57,19.21,17.5,17.5
,10,,7.62,10.74,18.5,18.5
,,1.56,4.2,7.89,16.5,16.5
,0,,0,10.69,17.5,17.5
,,0.22,0,,0.92,0.92
,,,,,5.54,5.54
,2.22,,2.49,,0.92,0.92
,,,,,0.92,0.92
,0,1.22,0.69,,0,3.04
,,,,9.89,8.54,8.54
,,0,0,,0,7.04
,,2.22,3.28,,3.92,3.92
,,18.89,18.36,,18.08,18.08
,,,,,7.54,7.54
,2.22,2.22,1.69,,11.73,11.73
,20,,20,,19,19
,,,,,0,0
,,,,,0,0
,0.22,,2.07,,2.42,2.42
,7.78,7.78,9.89,20,16.5,16.5
,0,,0,0.79,1.5,1.5
,7.78,,5.93,,10.54,10.54
,0,0,3.17,4.87,17,17
,,,,5.93,15.58,15.58
,,,,,12,12
,7.78,16.67,15.87,16.67,17.08,17.08
,5.56,7.78,9.1,12.43,15.5,15.5
,7.78,7.78,9.89,,10.54,10.54
,0,,0,,0,0
,7.78,7.78,9.89,12.38,16.58,16.58
,2.22,,1.69,0,9.04,9.04
,0,,0,12.49,15.08,15.08
,0,,0.07,0.87,6.54,6.54
,2.22,7.78,5.93,18.36,19,19
,,,,,4.19,4.19
,,,,,0,0
,,,,,0,0
,2.22,7.78,6.72,18.36,15.58,15.58
,7.78,,10.69,19.15,15.58,15.58
,5.78,,1.93,7.89,15.08,15.08
,0,2.22,1.69,,11.65,11.65
,,,,0,0,13.5
,4.44,7.78,9.1,10.69,19,19
,,2.22,4.87,,9.81,9.81
,,7.78,8.31,,17,17
,,,,0,11,11
,0,0,0,0,0.5,0.5
,,,,,3.92,3.92
,,,,,18,18
,13.33,,12.54,12.54,17,17
,0,10,12.38,,18,18
,10.11,,8.26,10.8,0,12.58
,,,,,10.04,10.04
,2.22,2.22,1.69,14.18,9.88,9.88
,0,8.89,9.95,19.21,15.5,15.5
,,4.44,8.15,12.38,17.58,17.58
,5.56,,8.99,,10.54,10.54
,2.22,2.22,1.69,13.54,14.15,14.15
,,,,,13,13
,5.56,,6.41,8.89,9.04,9.04
,,,,4.18,5.35,5.35
,,,,,9.46,9.46
,0,0,0,10.79,18.5,18.5
,20,20,20,,16.5,16.5
,2.22,,3.87,3.07,1.42,1.42
,,0,0,,0,6.04
,,,,,12.58,12.58
,,,,,0,0
,13.33,18.89,18.36,19.21,15,15
,2.22,2.22,3.28,5.66,4.42,4.42
,0,,1.59,19.21,15,15
,13.33,20,19.21,20,17.5,17.5
,,,,,17.5,17.5
,0,2.22,1.69,13.54,10.15,10.15
,15.67,7.78,8.31,12.54,9.81,9.81
,,7.78,9.89,,16.5,16.5
,20,20,16.03,16.03,19.5,19.5
,,20,20,,20,20
,20,,20,,18.5,18.5
,,0,0,3.93,16,16
,0,,0,,0,8.96
,,,,,0,0
,2.22,,1.69,,13,13
,,,,,6.54,6.54
,,,,,2.42,2.42
,,,,,4.54,4.54
,,20,16.03,7.89,8.04,8.04
,,7.78,10.69,10.69,0,7.54
,,,,,0,0
,18,20,19.21,20,17.5,17.5
,,,,3.39,16,16
,2.22,16,11.24,4.56,4.85,4.85
,,,,,0,8.5
,0,7.78,9.1,18.41,17.5,17.5
,4.44,,4.97,,15.08,15.08
,0,,0,,3,3
,,0,0,0,0,0
,,,,,17.5,17.5
,,,,,0,0.42
,10.11,15.56,11.85,11.85,13.65,13.65
,0,0,0,10.11,12.15,12.15
,,0,0,0,11.65,11.65
,0,0,0,0,0,6.69
,,1.22,4.66,11.59,12.73,12.73
,,,,,0.92,0.92
,16.67,,17.46,,12.81,12.81
,,,,0,2.5,2.5
,14.44,14.44,14.97,17.46,18,18
,,12.33,9.16,15.87,17.08,17.08
,12.22,,13.28,,0,12.15
,0,,0,5.93,10,10
,,,,,4.42,4.42
,,,,,4.54,4.54
,,,,,5.38,5.38
,,2.22,6.46,17.46,16.5,16.5
,0,,0,,0,0.42
,,0,0,0,0,1.42
,0,0,0,16.03,20,20
,,,,,14.08,14.08
,,0,0,,6.77,6.77
,2.22,13.33,12.54,18.36,16.5,16.5
,18.89,20,20,,17.5,17.5
,,10.22,7.31,11.28,8.54,8.54
,,,,8.31,10.38,10.38
,13.33,,10.16,19.21,16,16
,7.78,7.78,9.89,19.21,18.5,18.5
,0,2.22,5.66,7.79,5.19,5.19
,,,,,8.73,8.73
,0,,0,0,17.5,17.5
,,,,,0,0
,2.56,7.78,5.93,15.24,16,16
,,,,,9.04,9.04
,,,,,4.42,4.42
,,17.78,16.72,19.21,17.5,17.5
,,,,,14.5,14.5
,,,,2.93,9.04,9.04
,,,,,0,0
,,5.78,7.89,,14.5,14.5
,17.78,20,20,,20,20
,,0.44,0,13.77,16.5,16.5
,,7.78,10.69,0,19,19
,,,,,0,0
,,,,,4.27,4.27
,5.78,,3.93,10.69,10.54,10.54
,,,,19.21,16,16
,2.22,,1.69,6.72,0,9.65
,20,,20,,16.5,16.5
,17.78,,17.51,19.15,15.58,15.58
,,4.44,8.15,16.61,14.23,14.23
,,,,6.61,9.12,9.12
,0,5.56,5.03,,18,18
,,0,0,0,0,0
,,,,9.1,17.08,17.08
,1.22,1.22,0.69,6.69,8.04,8.04
,1.22,0,0,20,17.5,17.5
,,,,0,0,0
,2.22,12.22,13.28,,15.5,15.5
,,,,,10.04,10.04
,16.67,20,20,7.31,17.5,17.5
,0.22,,0,9.1,17.08,17.08
,,,,,13.15,13.15
,,2.22,4.07,13.93,11.65,11.65
,,,,,3.5,3.5
,0,20,18.41,20,16.5,16.5
,,,,0,2.42,2.42
,2.22,,1.69,4.07,2.42,2.42
,,2.22,5.66,12.43,17.5,17.5
,2.56,7.78,9.1,18.41,17.5,17.5
,0,,0,,9.46,9.46
,,,,8.89,8.04,8.04
,,,1.69,,10.54,10.54
,11.11,4.44,4.18,20,17.5,17.5
,5.78,,,,0,0
,4.44,,7.89,,8.54,8.54
,,0,0,13.54,10.15,10.15
,,3.44,7.15,,5.85,5.85
,5.78,,3.93,,18,18
,,,,9.1,13.15,13.15
,10.11,6.78,5.72,10.69,13.31,13.31
,,,,,3.54,3.54
,2.22,0.22,2.87,2.87,1.92,1.92
,0,,0,0,0.42,0.42
,0,20,16.03,18.41,17,17
,,,,,0,0
,,,,,0.92,0.92
,,,,,10.04,10.04
,,,,,15,15
,4.44,4.44,3.39,18.36,15,15
,,,,0,2.42,2.42
,0.22,0,0,3.93,9.04,9.04
,,,,,13,13
,4.78,,4.93,,9.54,9.54
,11.11,13.33,14.13,16.67,15.08,15.08
,,,,9.79,18.5,18.5
,,7.78,9.89,,8.54,8.54
,,,,0,4.42,4.42
,4.44,18.89,19.15,16.83,19,19
,,,,,0,0
,2.22,,1.69,1.69,4.42,4.42
,,,,,1.85,1.85
,,,,,0,0
,,,,,0,0
,,,,0,16.5,16.5
,11.33,18,18,,17,18
,,,,,3.92,3.92
,,,,3.93,10.04,10.04
,,,,,9.96,9.96
,,10.22,11.28,14.92,17.5,17.5
,,,,0,2.92,2.92
,18.89,20,20,,19,19
,0,,0,,15.5,15.5
,2.22,1.22,0.69,2.93,8.04,8.04
,5.56,18.89,18.36,19.15,15.58,15.58
,,,,1.69,6.54,6.54
,,,,,0,0
,0,10,9.21,15.08,12.65,12.65
,,,,,0,0
,,,,0,0,0
,18.89,18.89,19.15,,17.58,17.58
,,12.22,13.28,,17.5,17.5
,,,,0,3.92,3.92
,,,,,12.65,12.65
,,2.22,1.69,9.26,10.65,10.65
,,0,1.66,15.46,13.15,13.15
,10.44,,7.01,7.01,11.81,11.81
,,0,0,,0,0
,,,,0,0,0
,0,7.78,6.72,13.33,18,18
,0,0,0,,17,17
,,,,,0.92,0.92
,,0,0,,13.5,13.5
,12.22,8.22,5.31,5.31,16,16
,,,,,0,0
,0,,0,9.1,8.04,8.04
,,4.44,8.15,14.92,10.54,10.54
,,,,,1.5,1.5
,,17.78,17.51,,15.08,15.08
,0,,0,,0,0
,,18,15.62,10.79,17.5,17.5
,10.11,,8.26,,0,2.92
,0,12.44,13.77,19.21,15.5,15.5
,16.67,7.78,10.69,20,18,18
,5.56,7.78,9.89,9.89,0,0
,11.11,16.67,15.08,16.67,13.65,13.65
,,,,,0,0
,,16.67,17.46,,12.73,12.73
,,0,0,0,0.92,0.92
,2.22,2.22,2.49,,17,17
,,,,,0,0
,,,,,0,0
,1.22,4.44,7.35,9.1,16.5,16.5
,,,,14.39,15.58,15.58
,7.78,18.89,18.36,20,16.5,16.5
,7.78,18.89,18.36,,15.58,15.58
,0,0,0,,8.65,8.65
,7.78,7.78,9.1,,11.81,11.81
,,,,1.49,3.92,3.92
,0,0.22,0,6.47,10.81,10.81
,,0,0,10.69,10.04,10.04
,,,,,4.54,4.54
,,7.78,5.93,18.41,14.5,14.5
,2.22,,3.28,,5.46,5.46
,,,,9.11,6.27,6.27
,,,,,0,0
,2.22,0,0,,1.35,1.35
,0.22,16.67,12.7,,9.04,9.04
,0,2.22,1.69,,19,19
,,,,,2.92,2.92
,,,,,0,0
,,0,0,,2.42,2.42
,20,18,14.03,12.13,19.5,19.5
,0,0,0,4.46,8.85,8.85
,,3.44,3.97,8.31,9.31,9.31
,0,0,0,0,7.04,7.04
,2.22,7.78,9.89,12.38,17.5,17.5
,,2.22,5.66,17.46,14.65,14.65
,,,,,5.81,5.81
,7.78,17.78,16.72,20,18,18
,20,,20,,19,19
,,,,9.89,16.08,16.08
,,,,,0.92,0.92
,,0,0,2.76,7.54,7.54
,0,,0,,1.42,1.42
,1.22,,4.66,,0,0
,,18,14.03,18,19,19
,0,,0,,1.92,1.92
,,7.78,6.72,0,15.58,15.58
