Login,Traces #1,Traces #2,Traces #3,Traces #4,Final Traces
,0.53,0,5,5.31,18.13
,15.79,8.16,7.96,8.16,13.47
,,11.43,19.29,19.49,19.59
,8.77,10.54,10.44,10.54,17.83
,17.37,7.14,6.84,7.14,13.47
,3.42,0,10.92,11.43,18.13
,0,0.2,4.69,5,8.23
,6.58,2.55,2.55,2.55,4.53
,,,,,17.78
,0,0,0,0,13.47
,,7.96,7.35,7.65,8.57
,,,,,1.57
,0,5.14,4.84,5.14,0
,,0,0,0,0
,2.63,11.06,10.65,11.06,17.26
,8.77,3.17,7.8,8.2,18.72
,0,0,0,0,9.42
,20,0,1.67,2.08,12.24
,0,3.78,3.57,3.78,3.78
,0,0,0,0,0.2
,,17.38,17.07,17.17,20
,,14.91,14.61,14.81,14.91
,,0,0,0,0
,,,,,0
,0,1.98,1.57,1.57,3.61
,20,13.47,12.86,12.86,19.59
,7.89,0,12.18,12.18,12.59
,0.11,0,13.1,13.41,15.04
,,,,,0
,5.58,1.55,1.55,1.55,0.71
,20,17.78,18.8,19.42,20
,3.42,1.53,1.43,1.53,1.53
,,,,,18.71
,10.98,5.28,4.87,5.28,17.83
,9.21,3.78,3.57,3.67,3.78
,,,,,13.47
,18.25,16.5,15.89,16.5,16.5
,,,,,12.59
,,19.9,19.9,19.8,20
,2.63,1.22,1.12,1.22,18.72
,,0,0,0,0
,7.89,9.39,18.1,18.72,18.72
,,0.2,0.2,0.2,5.2
,,,,,1.22
,20,8.27,7.76,8.37,19.59
,20,19.21,18.6,19.21,17.59
,,,,,11.43
,,,,,3.78
